,Fixed Driver Pay,3-M Total Rides,3-M Total Earnings
0,15.0,21.423999999999758,321.3599999999964
1,18.0,61.53400000000006,738.4080000000007
2,21.0,214.0779999999993,1926.7019999999939
3,24.0,624.1439999999988,3744.8639999999928
4,24.2,673.1319999999987,3904.165599999993
5,24.4,730.4859999999987,4090.7215999999944
6,24.599999999999998,791.9819999999992,4276.702799999997
7,24.799999999999997,856.1699999999997,4452.084000000001
8,24.999999999999996,928.6320000000007,4643.160000000007
9,25.199999999999996,993.0380000000007,4766.5824000000075
10,25.399999999999995,1065.77,4902.542000000006
11,25.599999999999994,1136.77,5001.788000000006
12,25.799999999999994,1205.4919999999997,5063.066400000006
13,26.0,1278.0959999999995,5112.383999999998
14,26.2,1334.2739999999994,5070.2411999999995
15,26.4,1402.3739999999993,5048.5464
16,26.599999999999998,1459.0619999999994,4960.810800000001
17,26.799999999999997,1514.967999999999,4847.897600000001
18,26.999999999999996,1573.4979999999994,4720.494000000004
19,27.199999999999996,1628.7319999999995,4560.449600000006
20,27.399999999999995,1681.3219999999994,4371.437200000006
21,27.599999999999994,1729.946,4151.87040000001
22,27.799999999999994,1778.5679999999998,3912.8496000000114
23,28.0,1831.2179999999996,3662.4359999999992
24,30.0,2293.522000000001,0.0
