,Fixed Driver Pay,6-M Total Rides,6-M Total Earnings
0,15.0,21.35399999999975,320.30999999999625
1,18.0,61.32000000000001,735.84
2,21.0,214.61199999999926,1931.5079999999937
3,24.0,665.6719999999982,3994.0319999999897
4,24.2,726.8539999999982,4215.75319999999
5,24.4,802.5919999999985,4494.515199999993
6,24.599999999999998,879.8979999999987,4751.449199999995
7,24.799999999999997,961.8559999999992,5001.651199999999
8,24.999999999999996,1054.894,5274.470000000004
9,25.199999999999996,1152.2540000000001,5530.819200000005
10,25.399999999999995,1253.7319999999995,5767.167200000005
11,25.599999999999994,1364.3119999999994,6002.972800000005
12,25.799999999999994,1467.0219999999997,6161.492400000008
13,26.0,1574.7179999999994,6298.871999999998
14,26.2,1685.31,6404.178000000001
15,26.4,1794.2939999999987,6459.4583999999995
16,26.599999999999998,1888.753999999999,6421.7636
17,26.799999999999997,1988.0459999999991,6361.7472000000025
18,26.999999999999996,2093.985999999999,6281.958000000005
19,27.199999999999996,2191.4459999999995,6136.048800000007
20,27.399999999999995,2293.4919999999993,5963.079200000009
21,27.599999999999994,2395.796,5749.9104000000125
22,27.799999999999994,2496.2899999999995,5491.838000000016
23,28.0,2580.2879999999996,5160.575999999999
24,30.0,3653.548,0.0
