,Fixed Driver Pay,12-M Total Rides,12-M Total Earnings
0,15.0,21.76199999999975,326.4299999999963
1,18.0,61.06400000000002,732.7680000000003
2,21.0,214.45199999999926,1930.0679999999938
3,24.0,671.6319999999985,4029.7919999999904
4,24.2,730.4839999999982,4236.80719999999
5,24.4,803.5879999999986,4500.092799999993
6,24.599999999999998,883.6599999999987,4771.763999999996
7,24.799999999999997,976.1059999999992,5075.751199999997
8,24.999999999999996,1068.3079999999998,5341.540000000003
9,25.199999999999996,1178.1619999999998,5655.1776000000045
10,25.399999999999995,1291.6419999999996,5941.553200000006
11,25.599999999999994,1412.7859999999998,6216.258400000008
12,25.799999999999994,1541.965999999999,6476.2572000000055
13,26.0,1667.5419999999988,6670.167999999995
14,26.2,1789.1659999999981,6798.830799999994
15,26.4,1917.9219999999987,6904.5192
16,26.599999999999998,2061.859999999999,7010.3240000000005
17,26.799999999999997,2187.597999999999,7000.313600000003
18,26.999999999999996,2315.9439999999986,6947.832000000004
19,27.199999999999996,2454.975999999999,6873.932800000007
20,27.399999999999995,2583.063999999999,6715.96640000001
21,27.599999999999994,2727.4699999999993,6545.928000000013
22,27.799999999999994,2869.561999999999,6313.036400000016
23,28.0,3028.3899999999994,6056.779999999999
24,30.0,4883.746000000001,0.0
