,Fixed Driver Pay,24-M Total Rides,24-M Total Earnings
0,15.0,21.693999999999757,325.4099999999964
1,18.0,61.002000000000045,732.0240000000006
2,21.0,211.71399999999934,1905.425999999994
3,24.0,665.6959999999983,3994.1759999999895
4,24.2,732.0719999999981,4246.017599999989
5,24.4,807.9219999999983,4524.363199999993
6,24.599999999999998,879.957999999999,4751.773199999994
7,24.799999999999997,976.7219999999995,5078.9544000000005
8,24.999999999999996,1071.972,5359.860000000004
9,25.199999999999996,1183.0599999999995,5678.688000000003
10,25.399999999999995,1291.6839999999995,5941.746400000005
11,25.599999999999994,1408.829999999999,6198.8520000000035
12,25.799999999999994,1531.6999999999987,6433.140000000006
13,26.0,1663.941999999999,6655.767999999996
14,26.2,1801.7199999999987,6846.535999999997
15,26.4,1930.9279999999987,6951.340799999998
16,26.599999999999998,2066.2379999999985,7025.2092
17,26.799999999999997,2202.2859999999987,7047.315200000003
18,26.999999999999996,2336.797999999998,7010.394000000003
19,27.199999999999996,2490.529999999999,6973.484000000009
20,27.399999999999995,2630.135999999999,6838.353600000011
21,27.599999999999994,2789.9719999999993,6695.932800000012
22,27.799999999999994,2936.0159999999983,6459.2352000000155
23,28.0,3107.491999999999,6214.983999999998
24,30.0,5396.47,0.0
