,0,1,2,3,4,5,6,7,8,9,10,11
0,545.0,785,898,947.0,969.0,991.0,995.0,997.0,998.0,999.0,999.0,999.0
1,408.0,179,85,46.0,27.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0
2,45.0,32,13,6.0,4.0,1.0,3.0,2.0,1.0,,,
3,2.0,3,3,1.0,,,,,,,,
4,,1,1,,,,,,,,,
